Profile: Function timing, sorted by time
Date:    Thu Jul 18 21:01:21 2002


Program Statistics
------------------
    Command line at 2002 Jul 18 21:00: "D:\Work\EmperorOfDragons\Game\XLauncher" 
    Total time: 63121.302 millisecond
    Time outside of functions: 5.782 millisecond
    Call depth: 38
    Total functions: 1172
    Total hits: 732624
    Function coverage: 41.3%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for xlauncher.exe
-----------------------------------
    Time in module: 63115.521 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1172
    Hits in module: 732624
    Module function coverage: 41.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.028   0.0        0.028   0.0       12 CString::operator=(class CString const &) (mfc42d.dll)
       0.028   0.0        0.028   0.0        1 CDC::GetTextExtent(class CString const &) (mfc42d.dll)
       0.027   0.0        0.032   0.0        7 CBigFile::Seek(__int64,unsigned int) (bigfile.obj)
       0.027   0.0        0.027   0.0       10 CWnd::SetCapture(void) (mfc42d.dll)
       0.025   0.0        0.025   0.0        4 CWnd::RedrawWindow(struct tagRECT const *,class CRgn *,unsigned int) (mfc42d.dll)
       0.025   0.0        0.025   0.0      105 CWnd::PreTranslateMessage(struct tagMSG *) (mfc42d.dll)
       0.023   0.0        0.060   0.0       39 _XFileInfo::Set(char *) (package.obj)
       0.023   0.0        0.408   0.0        4 CButtonST::SetBitmaps(struct HBITMAP__ *,unsigned long,struct HBITMAP__ *,unsigned long) (btnst.obj)
       0.023   0.0        0.023   0.0        6 CDialog::CDialog(unsigned int,class CWnd *) (mfc42d.dll)
       0.021   0.0        0.021   0.0       89 CFTPTransferDlg::GetMessageMap(void) (ftptransferdlg.obj)
       0.021   0.0        0.021   0.0        4 CBitmap::GetBitmap(struct tagBITMAP *) (mfc42d.dll)
       0.020   0.0        0.020   0.0        4 CString::TrimRight(char const *) (mfc42d.dll)
       0.020   0.0        0.020   0.0        4 CToolTipCtrl::~CToolTipCtrl(void) (mfc42d.dll)
       0.020   0.0        0.020   0.0        1 CBitmap::CreateCompatibleBitmap(class CDC *,int,int) (mfc42d.dll)
       0.020   0.0        0.020   0.0        1 CFile::Close(void) (mfc42d.dll)
       0.020   0.0        0.022   0.0        2 CPtrArray::Add(void *) (mfc42d.dll)
       0.020   0.0        0.374   0.0       35 CButtonST::OnDrawBackground(class CDC *,struct tagRECT const *) (btnst.obj)
       0.020   0.0        0.177   0.0        1 CCentralDir::Locate(void) (centraldir.obj)
       0.019   0.0        0.019   0.0        1 CDC::FillSolidRect(struct tagRECT const *,unsigned long) (mfc42d.dll)
       0.019   0.0        0.019   0.0       88 CSeverMessageDialog::GetMessageMap(void) (severmessagedialog.obj)
       0.018   0.0        0.018   0.0        1 CProgressCtrl::~CProgressCtrl(void) (mfc42d.dll)
       0.018   0.0        0.018   0.0        2 CWnd::ClientToScreen(struct tagRECT *) (mfc42d.dll)
       0.018   0.0        0.018   0.0       51 _EncodeData(char *,unsigned char) (package.obj)
       0.018   0.0        0.103   0.0        1 CMacButton::DrawButtonText(class CDC *,class CRect &,class CString const &,unsigned int,unsigned int) (macbuttons.obj)
       0.018   0.0    25326.707  40.1        1 CXLauncherDlg::PatchProcess(int) (xlauncherdlg.obj)
